time,source,unit,glucoseReading
2017-08-23 00:03:52.591,nightscout,mg/dL,5.0
2017-08-23 00:08:52.460,nightscout,mg/dL,5.0
2017-08-23 00:13:52.259,nightscout,mg/dL,5.0
2017-08-23 00:18:52.578,nightscout,mg/dL,5.0
2017-08-23 00:23:51.673,nightscout,mg/dL,5.0
2017-08-23 00:28:51.673,nightscout,mg/dL,5.0
2017-08-23 00:33:51.954,nightscout,mg/dL,5.0
2017-08-23 00:38:51.972,nightscout,mg/dL,5.0
2017-08-23 00:43:51.925,nightscout,mg/dL,5.0
2017-08-23 00:48:51.925,nightscout,mg/dL,5.0
2017-08-23 00:53:51.840,nightscout,mg/dL,5.0
2017-08-23 00:58:45.000,tidepool,mg/dL,198.198
2017-08-23 00:58:52.809,nightscout,mg/dL,207.0
2017-08-23 01:03:45.000,tidepool,mg/dL,198.198
2017-08-23 01:03:51.924,nightscout,mg/dL,209.0
2017-08-23 01:08:45.000,tidepool,mg/dL,198.198
2017-08-23 01:08:51.800,nightscout,mg/dL,209.0
2017-08-23 01:13:45.000,tidepool,mg/dL,198.198
2017-08-23 01:13:51.800,nightscout,mg/dL,207.0
2017-08-23 01:18:45.000,tidepool,mg/dL,198.198
2017-08-23 01:18:51.848,nightscout,mg/dL,200.0
2017-08-23 01:23:45.000,tidepool,mg/dL,198.198
2017-08-23 01:23:52.249,nightscout,mg/dL,203.0
2017-08-23 01:28:45.000,tidepool,mg/dL,198.198
2017-08-23 01:28:52.249,nightscout,mg/dL,204.0
2017-08-23 01:33:45.000,tidepool,mg/dL,198.198
2017-08-23 01:33:52.021,nightscout,mg/dL,208.0
2017-08-23 01:38:45.000,tidepool,mg/dL,216.216
2017-08-23 01:38:51.872,nightscout,mg/dL,218.0
2017-08-23 01:43:45.000,tidepool,mg/dL,216.216
2017-08-23 01:43:51.620,nightscout,mg/dL,230.0
2017-08-23 01:48:45.000,tidepool,mg/dL,234.234
2017-08-23 01:48:52.134,nightscout,mg/dL,237.0
2017-08-23 01:53:45.000,tidepool,mg/dL,234.234
2017-08-23 01:53:52.157,nightscout,mg/dL,235.0
2017-08-23 01:58:45.000,tidepool,mg/dL,216.216
2017-08-23 01:58:52.436,nightscout,mg/dL,230.0
2017-08-23 02:03:45.000,tidepool,mg/dL,216.216
2017-08-23 02:03:52.338,nightscout,mg/dL,230.0
2017-08-23 02:08:45.000,tidepool,mg/dL,234.234
2017-08-23 02:08:52.338,nightscout,mg/dL,237.0
2017-08-23 02:13:45.000,tidepool,mg/dL,234.234
2017-08-23 02:13:52.156,nightscout,mg/dL,248.0
2017-08-23 02:18:45.000,tidepool,mg/dL,252.252
2017-08-23 02:18:51.999,nightscout,mg/dL,258.0
2017-08-23 02:23:45.000,tidepool,mg/dL,252.252
2017-08-23 02:23:52.740,nightscout,mg/dL,263.0
2017-08-23 02:28:45.000,tidepool,mg/dL,252.252
2017-08-23 02:28:52.463,nightscout,mg/dL,262.0
