time,source,unit,glucoseReading
2017-08-23 02:33:44.000,tidepool,mg/dL,252.252
2017-08-23 02:33:52.463,nightscout,mg/dL,257.0
2017-08-23 02:38:44.000,tidepool,mg/dL,252.252
2017-08-23 02:38:51.705,nightscout,mg/dL,253.0
2017-08-23 02:43:44.000,tidepool,mg/dL,252.252
2017-08-23 02:43:51.032,nightscout,mg/dL,255.0
2017-08-23 02:48:45.000,tidepool,mg/dL,252.252
2017-08-23 02:48:51.131,nightscout,mg/dL,262.0
2017-08-23 02:53:44.000,tidepool,mg/dL,270.27
2017-08-23 02:53:51.420,nightscout,mg/dL,272.0
2017-08-23 02:58:44.000,tidepool,mg/dL,270.27
2017-08-23 02:58:51.058,nightscout,mg/dL,281.0
2017-08-23 03:03:45.000,tidepool,mg/dL,270.27
2017-08-23 03:03:51.786,nightscout,mg/dL,286.0
2017-08-23 03:08:44.000,tidepool,mg/dL,270.27
2017-08-23 03:08:51.008,nightscout,mg/dL,282.0
2017-08-23 03:13:44.000,tidepool,mg/dL,270.27
2017-08-23 03:13:51.105,nightscout,mg/dL,278.0
2017-08-23 03:18:44.000,tidepool,mg/dL,270.27
2017-08-23 03:18:50.957,nightscout,mg/dL,276.0
2017-08-23 03:23:44.000,tidepool,mg/dL,270.27
2017-08-23 03:23:51.425,nightscout,mg/dL,275.0
2017-08-23 03:28:44.000,tidepool,mg/dL,270.27
2017-08-23 03:28:51.402,nightscout,mg/dL,275.0
2017-08-23 03:33:44.000,tidepool,mg/dL,270.27
2017-08-23 03:33:51.005,nightscout,mg/dL,276.0
2017-08-23 03:38:44.000,tidepool,mg/dL,270.27
2017-08-23 03:38:50.979,nightscout,mg/dL,277.0
2017-08-23 03:43:44.000,tidepool,mg/dL,270.27
2017-08-23 03:43:51.326,nightscout,mg/dL,278.0
2017-08-23 03:48:44.000,tidepool,mg/dL,270.27
2017-08-23 03:48:51.053,nightscout,mg/dL,273.0
2017-08-23 03:53:44.000,tidepool,mg/dL,270.27
2017-08-23 03:53:50.550,nightscout,mg/dL,276.0
2017-08-23 03:58:45.000,tidepool,mg/dL,270.27
2017-08-23 03:58:50.535,nightscout,mg/dL,277.0
2017-08-23 04:03:44.000,tidepool,mg/dL,270.27
2017-08-23 04:03:50.634,nightscout,mg/dL,274.0
2017-08-23 04:08:44.000,tidepool,mg/dL,252.252
2017-08-23 04:08:50.623,nightscout,mg/dL,267.0
2017-08-23 04:13:45.000,tidepool,mg/dL,252.252
2017-08-23 04:13:51.598,nightscout,mg/dL,266.0
2017-08-23 04:18:44.000,tidepool,mg/dL,252.252
2017-08-23 04:18:50.573,nightscout,mg/dL,268.0
2017-08-23 04:23:44.000,tidepool,mg/dL,252.252
2017-08-23 04:23:50.547,nightscout,mg/dL,270.0
2017-08-23 04:28:44.000,tidepool,mg/dL,252.252
2017-08-23 04:28:50.535,nightscout,mg/dL,270.0
2017-08-23 04:33:44.000,tidepool,mg/dL,252.252
2017-08-23 04:33:50.510,nightscout,mg/dL,269.0
2017-08-23 04:38:44.000,tidepool,mg/dL,270.27
2017-08-23 04:38:50.484,nightscout,mg/dL,273.0
2017-08-23 04:43:44.000,tidepool,mg/dL,270.27
2017-08-23 04:43:50.583,nightscout,mg/dL,277.0
2017-08-23 04:48:44.000,tidepool,mg/dL,270.27
2017-08-23 04:48:50.639,nightscout,mg/dL,279.0
2017-08-23 04:53:44.000,tidepool,mg/dL,270.27
2017-08-23 04:53:50.837,nightscout,mg/dL,281.0
2017-08-23 04:58:44.000,tidepool,mg/dL,270.27
2017-08-23 04:58:50.957,nightscout,mg/dL,278.0
2017-08-23 05:03:44.000,tidepool,mg/dL,270.27
2017-08-23 05:03:50.808,nightscout,mg/dL,272.0
2017-08-23 05:08:44.000,tidepool,mg/dL,270.27
2017-08-23 05:08:51.030,nightscout,mg/dL,274.0
2017-08-23 05:13:44.000,tidepool,mg/dL,270.27
2017-08-23 05:13:50.539,nightscout,mg/dL,275.0
2017-08-23 05:18:44.000,tidepool,mg/dL,270.27
2017-08-23 05:18:50.643,nightscout,mg/dL,275.0
2017-08-23 05:23:44.000,tidepool,mg/dL,270.27
2017-08-23 05:23:50.618,nightscout,mg/dL,274.0
2017-08-23 05:28:44.000,tidepool,mg/dL,252.252
2017-08-23 05:28:50.468,nightscout,mg/dL,266.0
2017-08-23 05:33:44.000,tidepool,mg/dL,252.252
2017-08-23 05:33:50.443,nightscout,mg/dL,260.0
2017-08-23 05:38:44.000,tidepool,mg/dL,252.252
2017-08-23 05:38:51.256,nightscout,mg/dL,255.0
2017-08-23 05:43:44.000,tidepool,mg/dL,252.252
2017-08-23 05:43:51.256,nightscout,mg/dL,259.0
2017-08-23 05:48:44.000,tidepool,mg/dL,252.252
2017-08-23 05:48:50.612,nightscout,mg/dL,263.0
2017-08-23 05:53:44.000,tidepool,mg/dL,252.252
2017-08-23 05:53:50.586,nightscout,mg/dL,266.0
2017-08-23 05:54:25.000,googlesheet,mg/dL,293.0
2017-08-23 05:58:44.000,tidepool,mg/dL,252.252
2017-08-23 05:58:50.396,nightscout,mg/dL,269.0
2017-08-23 06:03:44.000,tidepool,mg/dL,270.27
2017-08-23 06:03:51.371,nightscout,mg/dL,271.0
2017-08-23 06:08:44.000,tidepool,mg/dL,270.27
2017-08-23 06:08:51.346,nightscout,mg/dL,273.0
2017-08-23 06:13:44.000,tidepool,mg/dL,270.27
2017-08-23 06:13:50.444,nightscout,mg/dL,274.0
2017-08-23 06:18:44.000,tidepool,mg/dL,270.27
2017-08-23 06:18:51.295,nightscout,mg/dL,275.0
2017-08-23 06:23:44.000,tidepool,mg/dL,270.27
2017-08-23 06:23:50.394,nightscout,mg/dL,275.0
2017-08-23 06:28:44.000,tidepool,mg/dL,270.27
2017-08-23 06:28:51.252,nightscout,mg/dL,275.0
2017-08-23 06:33:44.000,tidepool,mg/dL,270.27
2017-08-23 06:33:51.252,nightscout,mg/dL,273.0
2017-08-23 06:38:44.000,tidepool,mg/dL,270.27
2017-08-23 06:38:50.441,nightscout,mg/dL,280.0
2017-08-23 06:43:44.000,tidepool,mg/dL,270.27
2017-08-23 06:43:51.292,nightscout,mg/dL,285.0
2017-08-23 06:48:44.000,tidepool,mg/dL,270.27
2017-08-23 06:48:51.186,nightscout,mg/dL,287.0
2017-08-23 06:53:44.000,tidepool,mg/dL,288.288
2017-08-23 06:53:51.186,nightscout,mg/dL,289.0
2017-08-23 06:58:44.000,tidepool,mg/dL,270.27
2017-08-23 06:58:51.340,nightscout,mg/dL,288.0
2017-08-23 07:03:44.000,tidepool,mg/dL,270.27
2017-08-23 07:03:51.313,nightscout,mg/dL,287.0
2017-08-23 07:08:44.000,tidepool,mg/dL,270.27
2017-08-23 07:08:50.414,nightscout,mg/dL,282.0
2017-08-23 07:13:44.000,tidepool,mg/dL,270.27
2017-08-23 07:13:50.636,nightscout,mg/dL,283.0
2017-08-23 07:18:44.000,tidepool,mg/dL,270.27
2017-08-23 07:18:50.403,nightscout,mg/dL,279.0
2017-08-23 07:23:44.000,tidepool,mg/dL,270.27
2017-08-23 07:23:50.968,nightscout,mg/dL,279.0
2017-08-23 07:28:44.000,tidepool,mg/dL,270.27
2017-08-23 07:28:50.435,nightscout,mg/dL,278.0
2017-08-23 07:33:44.000,tidepool,mg/dL,270.27
2017-08-23 07:33:50.657,nightscout,mg/dL,278.0
2017-08-23 07:38:44.000,tidepool,mg/dL,252.252
2017-08-23 07:38:50.862,nightscout,mg/dL,264.0
2017-08-23 07:43:44.000,tidepool,mg/dL,252.252
2017-08-23 07:43:50.641,nightscout,mg/dL,259.0
2017-08-23 07:45:00.000,googlesheet,mg/dL,162.0
2017-08-23 07:48:44.000,tidepool,mg/dL,252.252
2017-08-23 07:48:51.069,nightscout,mg/dL,262.0
2017-08-23 07:53:44.000,tidepool,mg/dL,252.252
2017-08-23 07:53:51.177,nightscout,mg/dL,261.0
2017-08-23 07:58:44.000,tidepool,mg/dL,252.252
2017-08-23 07:58:51.275,nightscout,mg/dL,264.0
2017-08-23 08:03:44.000,tidepool,mg/dL,270.27
2017-08-23 08:03:50.501,nightscout,mg/dL,274.0
2017-08-23 08:08:44.000,tidepool,mg/dL,270.27
2017-08-23 08:08:50.921,nightscout,mg/dL,285.0
2017-08-23 08:13:44.000,tidepool,mg/dL,288.288
2017-08-23 08:18:44.000,tidepool,mg/dL,288.288
2017-08-23 08:18:50.695,nightscout,mg/dL,296.0
2017-08-23 08:23:44.000,tidepool,mg/dL,288.288
2017-08-23 08:23:51.060,nightscout,mg/dL,294.0
2017-08-23 08:28:44.000,tidepool,mg/dL,288.288
2017-08-23 08:28:51.171,nightscout,mg/dL,289.0
2017-08-23 08:33:44.000,tidepool,mg/dL,270.27
2017-08-23 08:33:51.146,nightscout,mg/dL,283.0
2017-08-23 08:38:44.000,tidepool,mg/dL,270.27
2017-08-23 08:38:51.213,nightscout,mg/dL,279.0
2017-08-23 08:43:44.000,tidepool,mg/dL,270.27
2017-08-23 08:43:51.065,nightscout,mg/dL,280.0
2017-08-23 08:48:44.000,tidepool,mg/dL,270.27
2017-08-23 08:48:50.532,nightscout,mg/dL,284.0
2017-08-23 08:53:44.000,tidepool,mg/dL,270.27
2017-08-23 08:53:50.509,nightscout,mg/dL,288.0
2017-08-23 08:58:44.000,tidepool,mg/dL,288.288
2017-08-23 08:58:50.989,nightscout,mg/dL,289.0
2017-08-23 09:03:44.000,tidepool,mg/dL,270.27
2017-08-23 09:03:50.459,nightscout,mg/dL,288.0
2017-08-23 09:08:44.000,tidepool,mg/dL,270.27
2017-08-23 09:08:51.062,nightscout,mg/dL,282.0
2017-08-23 09:13:44.000,tidepool,mg/dL,288.288
2017-08-23 09:13:50.408,nightscout,mg/dL,290.0
2017-08-23 09:18:44.000,tidepool,mg/dL,288.288
2017-08-23 09:18:51.012,nightscout,mg/dL,296.0
2017-08-23 09:23:44.000,tidepool,mg/dL,288.288
2017-08-23 09:23:50.482,nightscout,mg/dL,298.0
2017-08-23 09:28:44.000,tidepool,mg/dL,288.288
2017-08-23 09:28:51.090,nightscout,mg/dL,294.0
2017-08-23 09:33:44.000,tidepool,mg/dL,288.288
2017-08-23 09:33:50.941,nightscout,mg/dL,291.0
2017-08-23 09:38:44.000,tidepool,mg/dL,288.288
2017-08-23 09:38:50.819,nightscout,mg/dL,289.0
2017-08-23 09:43:44.000,tidepool,mg/dL,270.27
2017-08-23 09:43:50.944,nightscout,mg/dL,287.0
2017-08-23 09:48:44.000,tidepool,mg/dL,270.27
2017-08-23 09:48:50.958,nightscout,mg/dL,285.0
2017-08-23 09:53:44.000,tidepool,mg/dL,270.27
2017-08-23 09:53:51.054,nightscout,mg/dL,286.0
2017-08-23 09:58:44.000,tidepool,mg/dL,270.27
2017-08-23 09:58:51.029,nightscout,mg/dL,274.0
2017-08-23 10:03:44.000,tidepool,mg/dL,270.27
2017-08-23 10:03:50.144,nightscout,mg/dL,279.0
2017-08-23 10:08:44.000,tidepool,mg/dL,270.27
2017-08-23 10:08:50.979,nightscout,mg/dL,281.0
2017-08-23 10:13:44.000,tidepool,mg/dL,270.27
2017-08-23 10:13:50.988,nightscout,mg/dL,277.0
2017-08-23 10:18:44.000,tidepool,mg/dL,270.27
2017-08-23 10:18:50.963,nightscout,mg/dL,272.0
2017-08-23 10:23:44.000,tidepool,mg/dL,252.252
2017-08-23 10:23:50.938,nightscout,mg/dL,270.0
2017-08-23 10:28:44.000,tidepool,mg/dL,252.252
2017-08-23 10:28:51.036,nightscout,mg/dL,265.0
2017-08-23 10:33:44.000,tidepool,mg/dL,252.252
2017-08-23 10:33:51.010,nightscout,mg/dL,255.0
2017-08-23 10:38:44.000,tidepool,mg/dL,234.234
2017-08-23 10:38:50.834,nightscout,mg/dL,250.0
2017-08-23 10:43:44.000,tidepool,mg/dL,234.234
2017-08-23 10:43:50.811,nightscout,mg/dL,241.0
2017-08-23 10:48:44.000,tidepool,mg/dL,216.216
2017-08-23 10:48:50.851,nightscout,mg/dL,233.0
2017-08-23 10:53:44.000,tidepool,mg/dL,216.216
2017-08-23 10:53:50.827,nightscout,mg/dL,226.0
2017-08-23 10:58:44.000,tidepool,mg/dL,216.216
2017-08-23 10:58:50.802,nightscout,mg/dL,218.0
2017-08-23 11:03:44.000,tidepool,mg/dL,198.198
2017-08-23 11:03:50.292,nightscout,mg/dL,211.0
2017-08-23 11:08:44.000,tidepool,mg/dL,198.198
2017-08-23 11:08:50.263,nightscout,mg/dL,205.0
2017-08-23 11:13:44.000,tidepool,mg/dL,180.18
2017-08-23 11:13:50.993,nightscout,mg/dL,195.0
2017-08-23 11:18:44.000,tidepool,mg/dL,180.18
2017-08-23 11:18:50.863,nightscout,mg/dL,186.0
2017-08-23 11:23:44.000,tidepool,mg/dL,162.162
2017-08-23 11:23:50.847,nightscout,mg/dL,178.0
2017-08-23 11:28:44.000,tidepool,mg/dL,162.162
2017-08-23 11:28:50.823,nightscout,mg/dL,172.0
2017-08-23 11:33:44.000,tidepool,mg/dL,162.162
2017-08-23 11:33:50.169,nightscout,mg/dL,165.0
2017-08-23 11:38:44.000,tidepool,mg/dL,144.144
2017-08-23 11:38:50.853,nightscout,mg/dL,159.0
2017-08-23 11:43:44.000,tidepool,mg/dL,144.144
2017-08-23 11:43:50.199,nightscout,mg/dL,155.0
2017-08-23 11:48:45.000,tidepool,mg/dL,144.144
2017-08-23 11:48:50.488,nightscout,mg/dL,156.0
2017-08-23 11:53:44.000,tidepool,mg/dL,144.144
2017-08-23 11:53:50.725,nightscout,mg/dL,152.0
2017-08-23 11:58:45.000,tidepool,mg/dL,126.126
2017-08-23 11:58:51.035,nightscout,mg/dL,142.0
2017-08-23 12:08:44.000,tidepool,mg/dL,126.126
2017-08-23 12:08:50.728,nightscout,mg/dL,137.0
2017-08-23 12:13:44.000,tidepool,mg/dL,108.108
2017-08-23 12:13:50.171,nightscout,mg/dL,126.0
2017-08-23 12:18:44.000,tidepool,mg/dL,108.108
2017-08-23 12:18:50.796,nightscout,mg/dL,115.0
2017-08-23 12:23:44.000,tidepool,mg/dL,90.09
2017-08-23 12:23:50.773,nightscout,mg/dL,107.0
2017-08-23 12:28:44.000,tidepool,mg/dL,90.09
2017-08-23 12:28:50.750,nightscout,mg/dL,102.0
2017-08-23 12:33:44.000,tidepool,mg/dL,90.09
2017-08-23 12:33:50.396,nightscout,mg/dL,100.0
2017-08-23 12:38:44.000,tidepool,mg/dL,90.09
2017-08-23 12:38:50.396,nightscout,mg/dL,102.0
2017-08-23 12:43:44.000,tidepool,mg/dL,108.108
2017-08-23 12:43:50.668,nightscout,mg/dL,109.0
2017-08-23 12:48:44.000,tidepool,mg/dL,108.108
2017-08-23 12:48:50.137,nightscout,mg/dL,121.0
2017-08-23 12:49:00.000,googlesheet,mg/dL,149.0
2017-08-23 12:53:44.000,tidepool,mg/dL,126.126
2017-08-23 12:53:50.741,nightscout,mg/dL,134.0
2017-08-23 12:58:44.000,tidepool,mg/dL,126.126
2017-08-23 12:58:50.840,nightscout,mg/dL,143.0
2017-08-23 13:03:44.000,tidepool,mg/dL,144.144
2017-08-23 13:03:50.689,nightscout,mg/dL,145.0
2017-08-23 13:08:44.000,tidepool,mg/dL,126.126
2017-08-23 13:08:50.792,nightscout,mg/dL,141.0
2017-08-23 13:13:44.000,tidepool,mg/dL,126.126
2017-08-23 13:13:50.641,nightscout,mg/dL,132.0
2017-08-23 13:18:44.000,tidepool,mg/dL,108.108
2017-08-23 13:18:51.050,nightscout,mg/dL,125.0
2017-08-23 13:23:44.000,tidepool,mg/dL,108.108
2017-08-23 13:23:50.396,nightscout,mg/dL,120.0
2017-08-23 13:28:44.000,tidepool,mg/dL,108.108
2017-08-23 13:28:51.123,nightscout,mg/dL,118.0
2017-08-23 13:33:44.000,tidepool,mg/dL,108.108
2017-08-23 13:33:51.098,nightscout,mg/dL,112.0
2017-08-23 13:38:44.000,tidepool,mg/dL,108.108
2017-08-23 13:38:51.073,nightscout,mg/dL,115.0
2017-08-23 13:43:44.000,tidepool,mg/dL,108.108
2017-08-23 13:43:50.496,nightscout,mg/dL,118.0
2017-08-23 13:48:44.000,tidepool,mg/dL,108.108
2017-08-23 13:48:50.898,nightscout,mg/dL,117.0
2017-08-23 13:53:44.000,tidepool,mg/dL,108.108
2017-08-23 13:53:51.368,nightscout,mg/dL,119.0
2017-08-23 13:58:44.000,tidepool,mg/dL,108.108
2017-08-23 13:58:50.972,nightscout,mg/dL,121.0
2017-08-23 14:03:44.000,tidepool,mg/dL,108.108
2017-08-23 14:03:50.946,nightscout,mg/dL,124.0
2017-08-23 14:08:44.000,tidepool,mg/dL,126.126
2017-08-23 14:08:50.920,nightscout,mg/dL,130.0
2017-08-23 14:13:44.000,tidepool,mg/dL,126.126
2017-08-23 14:13:50.350,nightscout,mg/dL,133.0
2017-08-23 14:18:44.000,tidepool,mg/dL,126.126
2017-08-23 14:18:50.750,nightscout,mg/dL,137.0
2017-08-23 14:23:44.000,tidepool,mg/dL,126.126
2017-08-23 14:23:50.657,nightscout,mg/dL,143.0
2017-08-23 14:28:44.000,tidepool,mg/dL,144.144
2017-08-23 14:28:51.017,nightscout,mg/dL,145.0
2017-08-23 14:33:44.000,tidepool,mg/dL,144.144
2017-08-23 14:33:50.710,nightscout,mg/dL,150.0
2017-08-23 14:38:44.000,tidepool,mg/dL,144.144
2017-08-23 14:38:50.892,nightscout,mg/dL,155.0
2017-08-23 14:43:44.000,tidepool,mg/dL,144.144
2017-08-23 14:43:50.867,nightscout,mg/dL,155.0
2017-08-23 14:48:44.000,tidepool,mg/dL,144.144
2017-08-23 14:48:51.213,nightscout,mg/dL,154.0
2017-08-23 14:53:44.000,tidepool,mg/dL,144.144
2017-08-23 14:53:50.397,nightscout,mg/dL,156.0
2017-08-23 14:58:44.000,tidepool,mg/dL,144.144
2017-08-23 14:58:51.162,nightscout,mg/dL,160.0
2017-08-23 15:03:44.000,tidepool,mg/dL,144.144
2017-08-23 15:03:51.040,nightscout,mg/dL,160.0
2017-08-23 15:08:44.000,tidepool,mg/dL,144.144
2017-08-23 15:08:50.865,nightscout,mg/dL,159.0
2017-08-23 15:13:44.000,tidepool,mg/dL,144.144
2017-08-23 15:13:50.655,nightscout,mg/dL,160.0
2017-08-23 15:18:44.000,tidepool,mg/dL,144.144
2017-08-23 15:18:50.753,nightscout,mg/dL,161.0
2017-08-23 15:23:44.000,tidepool,mg/dL,144.144
2017-08-23 15:23:50.604,nightscout,mg/dL,160.0
2017-08-23 15:28:44.000,tidepool,mg/dL,144.144
2017-08-23 15:28:50.700,nightscout,mg/dL,160.0
2017-08-23 15:33:44.000,tidepool,mg/dL,144.144
2017-08-23 15:33:50.699,nightscout,mg/dL,161.0
2017-08-23 15:38:44.000,tidepool,mg/dL,162.162
2017-08-23 15:38:50.651,nightscout,mg/dL,163.0
2017-08-23 15:43:44.000,tidepool,mg/dL,162.162
2017-08-23 15:43:50.625,nightscout,mg/dL,165.0
2017-08-23 15:48:44.000,tidepool,mg/dL,162.162
2017-08-23 15:48:50.741,nightscout,mg/dL,165.0
2017-08-23 15:53:44.000,tidepool,mg/dL,144.144
2017-08-23 15:53:50.715,nightscout,mg/dL,161.0
2017-08-23 15:54:23.000,googlesheet,mg/dL,206.0
2017-08-23 15:58:44.000,tidepool,mg/dL,144.144
2017-08-23 15:58:50.778,nightscout,mg/dL,162.0
2017-08-23 16:03:44.000,tidepool,mg/dL,162.162
2017-08-23 16:03:50.931,nightscout,mg/dL,163.0
2017-08-23 16:08:44.000,tidepool,mg/dL,144.144
2017-08-23 16:08:51.029,nightscout,mg/dL,162.0
2017-08-23 16:13:44.000,tidepool,mg/dL,144.144
2017-08-23 16:13:50.879,nightscout,mg/dL,161.0
2017-08-23 16:18:44.000,tidepool,mg/dL,144.144
2017-08-23 16:18:51.102,nightscout,mg/dL,158.0
2017-08-23 16:23:44.000,tidepool,mg/dL,144.144
2017-08-23 16:23:50.735,nightscout,mg/dL,155.0
2017-08-23 16:28:44.000,tidepool,mg/dL,144.144
2017-08-23 16:28:50.710,nightscout,mg/dL,148.0
2017-08-23 16:33:44.000,tidepool,mg/dL,126.126
2017-08-23 16:33:50.594,nightscout,mg/dL,144.0
2017-08-23 16:38:44.000,tidepool,mg/dL,126.126
2017-08-23 16:38:50.818,nightscout,mg/dL,141.0
2017-08-23 16:43:44.000,tidepool,mg/dL,126.126
2017-08-23 16:43:50.299,nightscout,mg/dL,139.0
2017-08-23 16:48:44.000,tidepool,mg/dL,144.144
2017-08-23 16:48:50.396,nightscout,mg/dL,159.0
2017-08-23 16:53:44.000,tidepool,mg/dL,144.144
2017-08-23 16:53:50.371,nightscout,mg/dL,157.0
2017-08-23 16:58:44.000,tidepool,mg/dL,144.144
2017-08-23 16:58:50.346,nightscout,mg/dL,155.0
2017-08-23 17:03:44.000,tidepool,mg/dL,144.144
2017-08-23 17:03:50.816,nightscout,mg/dL,146.0
2017-08-23 17:08:44.000,tidepool,mg/dL,126.126
2017-08-23 17:08:50.419,nightscout,mg/dL,136.0
2017-08-23 17:13:44.000,tidepool,mg/dL,126.126
2017-08-23 17:13:50.763,nightscout,mg/dL,127.0
2017-08-23 17:18:44.000,tidepool,mg/dL,108.108
2017-08-23 17:18:50.865,nightscout,mg/dL,118.0
2017-08-23 17:28:44.000,tidepool,mg/dL,108.108
2017-08-23 17:28:50.087,nightscout,mg/dL,117.0
2017-08-23 17:33:44.000,tidepool,mg/dL,108.108
2017-08-23 17:33:50.292,nightscout,mg/dL,120.0
2017-08-23 17:38:44.000,tidepool,mg/dL,126.126
2017-08-23 17:38:50.348,nightscout,mg/dL,128.0
2017-08-23 17:43:44.000,tidepool,mg/dL,126.126
2017-08-23 17:43:50.325,nightscout,mg/dL,137.0
2017-08-23 17:48:44.000,tidepool,mg/dL,144.144
2017-08-23 17:48:50.793,nightscout,mg/dL,146.0
2017-08-23 17:53:44.000,tidepool,mg/dL,144.144
2017-08-23 17:53:50.274,nightscout,mg/dL,154.0
2017-08-23 17:58:44.000,tidepool,mg/dL,144.144
2017-08-23 17:58:50.249,nightscout,mg/dL,156.0
2017-08-23 18:03:44.000,tidepool,mg/dL,144.144
2017-08-23 18:03:50.719,nightscout,mg/dL,156.0
2017-08-23 18:08:44.000,tidepool,mg/dL,144.144
2017-08-23 18:08:50.199,nightscout,mg/dL,153.0
2017-08-23 18:13:44.000,tidepool,mg/dL,144.144
2017-08-23 18:13:50.310,nightscout,mg/dL,162.0
2017-08-23 18:18:44.000,tidepool,mg/dL,162.162
2017-08-23 18:18:50.407,nightscout,mg/dL,168.0
2017-08-23 18:23:44.000,tidepool,mg/dL,162.162
2017-08-23 18:23:50.260,nightscout,mg/dL,170.0
2017-08-23 18:28:44.000,tidepool,mg/dL,162.162
2017-08-23 18:28:50.233,nightscout,mg/dL,180.0
2017-08-23 18:33:44.000,tidepool,mg/dL,180.18
2017-08-23 18:33:50.208,nightscout,mg/dL,186.0
2017-08-23 18:38:44.000,tidepool,mg/dL,180.18
2017-08-23 18:38:50.184,nightscout,mg/dL,189.0
2017-08-23 18:43:44.000,tidepool,mg/dL,180.18
2017-08-23 18:43:50.778,nightscout,mg/dL,194.0
2017-08-23 18:48:44.000,tidepool,mg/dL,198.198
2017-08-23 18:48:50.629,nightscout,mg/dL,204.0
2017-08-23 18:53:44.000,tidepool,mg/dL,198.198
2017-08-23 18:53:50.232,nightscout,mg/dL,211.0
2017-08-23 18:58:44.000,tidepool,mg/dL,198.198
2017-08-23 18:58:50.205,nightscout,mg/dL,214.0
2017-08-23 19:03:44.000,tidepool,mg/dL,216.216
2017-08-23 19:03:50.179,nightscout,mg/dL,220.0
2017-08-23 19:08:44.000,tidepool,mg/dL,216.216
2017-08-23 19:08:50.153,nightscout,mg/dL,225.0
2017-08-23 19:13:44.000,tidepool,mg/dL,216.216
2017-08-23 19:13:50.131,nightscout,mg/dL,230.0
2017-08-23 19:18:44.000,tidepool,mg/dL,216.216
2017-08-23 19:18:50.229,nightscout,mg/dL,233.0
2017-08-23 19:23:44.000,tidepool,mg/dL,216.216
2017-08-23 19:23:50.323,nightscout,mg/dL,234.0
2017-08-23 19:28:44.000,tidepool,mg/dL,216.216
2017-08-23 19:28:50.548,nightscout,mg/dL,233.0
2017-08-23 19:33:44.000,tidepool,mg/dL,216.216
2017-08-23 19:33:50.153,nightscout,mg/dL,226.0
2017-08-23 19:38:44.000,tidepool,mg/dL,216.216
2017-08-23 19:38:50.497,nightscout,mg/dL,225.0
2017-08-23 19:40:23.000,googlesheet,mg/dL,111.0
2017-08-23 19:43:44.000,tidepool,mg/dL,216.216
2017-08-23 19:43:50.103,nightscout,mg/dL,221.0
2017-08-23 19:48:44.000,tidepool,mg/dL,216.216
2017-08-23 19:48:50.201,nightscout,mg/dL,219.0
